time	V(n002)
3.318228571428572e+001	2.578176e+000
3.329600000000001e+001	2.578182e+000
3.350000000000000e+001	2.578152e+000
3.355599999999987e+001	2.578351e+000
3.360000000000000e+001	2.578656e+000
3.364479999999990e+001	2.578902e+000
3.370000000000000e+001	2.578954e+000
3.375714285714286e+001	2.578815e+000
3.381428571428572e+001	2.578693e+000
3.387142857142857e+001	2.578586e+000
3.392857142857143e+001	2.578496e+000
3.398571428571429e+001	2.578422e+000
3.404285714285714e+001	2.578364e+000
3.410000000000000e+001	2.578322e+000
3.417000000000000e+001	2.578569e+000
3.420000000000000e+001	2.578777e+000
3.430000000000000e+001	2.579549e+000
3.431920000000000e+001	2.579603e+000
3.434479999999999e+001	2.579525e+000
3.440000000000000e+001	2.579068e+000
3.445600000000007e+001	2.578533e+000
3.450000000000000e+001	2.578329e+000
3.460000000000000e+001	2.578268e+000
3.465599999999838e+001	2.578039e+000
3.470000000000000e+001	2.577713e+000
3.474479999999871e+001	2.577449e+000
3.480000000000000e+001	2.577379e+000
3.485600000003886e+001	2.577307e+000
3.490000000000000e+001	2.577091e+000
3.494480000003109e+001	2.576917e+000
3.500000000000000e+001	2.576943e+000
3.520000000000000e+001	2.577548e+000
3.527000000000000e+001	2.577384e+000
3.530000000000000e+001	2.577207e+000
3.535600000000000e+001	2.577002e+000
3.540000000000000e+001	2.577027e+000
3.545714285714286e+001	2.577211e+000
3.551428571428571e+001	2.577373e+000
3.557142857142857e+001	2.577514e+000
3.562857142857143e+001	2.577634e+000
3.568571428571428e+001	2.577732e+000
3.574285714285714e+001	2.577809e+000
3.580000000000000e+001	2.577865e+000
3.585600000000007e+001	2.577708e+000
3.590000000000000e+001	2.577431e+000
3.594480000000005e+001	2.577208e+000
3.600000000000000e+001	2.577182e+000
3.604285714285714e+001	2.577305e+000
3.608571428571428e+001	2.577417e+000
3.612857142857143e+001	2.577518e+000
3.617142857142857e+001	2.577607e+000
3.621428571428572e+001	2.577684e+000
3.625714285714285e+001	2.577750e+000
3.630000000000000e+001	2.577804e+000
3.637000000000000e+001	2.578164e+000
3.640000000000000e+001	2.578414e+000
3.645600000000000e+001	2.578732e+000
3.650000000000000e+001	2.578783e+000
3.651920000000000e+001	2.578615e+000
3.654480000000000e+001	2.578121e+000
3.660000000000000e+001	2.576543e+000
3.660800000000001e+001	2.577531e+000
3.662400000000003e+001	2.582290e+000
3.665600000000007e+001	2.602425e+000
3.670000000000000e+001	2.643327e+000
3.671920000000002e+001	2.666570e+000
3.674480000000006e+001	2.693914e+000
3.680000000000000e+001	2.745914e+000
3.682399999999926e+001	2.763938e+000
3.685599999999828e+001	2.786593e+000
3.690000000000000e+001	2.816285e+000
3.691919999999941e+001	2.827527e+000
3.694479999999862e+001	2.840485e+000
3.700000000000000e+001	2.864547e+000
3.702400000001772e+001	2.872199e+000
3.705600000004135e+001	2.881161e+000
3.710000000000000e+001	2.892168e+000
3.711920000001418e+001	2.896531e+000
3.714480000003308e+001	2.902922e+000
3.720000000000000e+001	2.917796e+000
3.722399999957469e+001	2.923889e+000
3.725599999900760e+001	2.930195e+000
3.730000000000000e+001	2.936941e+000
3.731919999965975e+001	2.938631e+000
3.734479999920607e+001	2.940399e+000
3.740000000000000e+001	2.943285e+000
3.742400001020759e+001	2.944613e+000
3.745600002381770e+001	2.947469e+000
3.750000000000000e+001	2.952548e+000
3.751920000816607e+001	2.955079e+000
3.754480001905417e+001	2.957797e+000
3.760000000000000e+001	2.962408e+000
3.762399975501793e+001	2.963299e+000
3.765599942837516e+001	2.963702e+000
3.770000000000000e+001	2.963426e+000
3.771919980401435e+001	2.963140e+000
3.774479954270013e+001	2.963370e+000
